sample_type,province,location,season,lon,lat,antibiotic,median_concentration,concentration_unit,sample_year,reference_number
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Sulfadimidine,1.45,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Sulfamethoxazole,4.65,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Tetracycline,1650,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Huizhou Huiyang district Huiyang wastewater treatment plants,10,114.480241,22.811775,Trimethoprim,6.43,ng/g,2010,190
municipal sludge,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Sulfadiazine,7.04,ng/g,NA,2
municipal sludge,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Sulfadimethoxine,5.685,ng/g,NA,2
municipal sludge,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Sulfamerazine,16.6925,ng/g,NA,2
municipal sludge,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Sulfameter,44.31,ng/g,NA,2
municipal sludge,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Sulfamethoxazole,26.255,ng/g,NA,2
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Chlortetracycline,25650,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Ciprofloxacin,581,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Doxycycline,5340,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Enrofloxacin,1077.5,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Lincomycin,832,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Methacycline,406,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Norfloxacin,1960,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Ofloxacin,1445,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Oxytetracycline,26550,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Pefloxacin,183,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Sarafloxacin,2.175,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Sulfachloropyridazine,567.5,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Sulfadiazine,1.44,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Sulfadimethoxine,6.015,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Sulfadimidine,5.56,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Sulfamonomethoxine,176.5,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Tetracycline,4785,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,10,112.288056,22.664167,Trimethoprim,14.45,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Chlortetracycline,24900,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Ciprofloxacin,652.5,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Doxycycline,6245,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Enrofloxacin,1051,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Lincomycin,1401.5,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Marbofloxacin,7,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Methacycline,446,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Norfloxacin,2275.5,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Ofloxacin,1695,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Oxytetracycline,29300,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Pefloxacin,242,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Sarafloxacin,2.355,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Sulfachloropyridazine,184,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Sulfadiazine,3.065,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Sulfadimethoxine,5.905,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Sulfadimidine,5.675,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Sulfamonomethoxine,258,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Tetracycline,5430,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,7,112.288056,22.664167,Trimethoprim,7.95,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Chlortetracycline,27050,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Ciprofloxacin,591,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Doxycycline,6075,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Enrofloxacin,1035.5,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Lincomycin,1128.5,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Methacycline,427.5,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Norfloxacin,2067,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Ofloxacin,1640,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Oxytetracycline,27650,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Pefloxacin,222.5,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Roxithromycin,1.215,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Sulfachloropyridazine,115,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Sulfadiazine,2.545,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Sulfadimethoxine,5.91,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Sulfadimidine,5.645,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Sulfamonomethoxine,233.5,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Tetracycline,5345,ng/g,2016,155
municipal sludge,Guangdong,Guangdong Yunfu Xinxing County,9,112.288056,22.664167,Trimethoprim,4.65,ng/g,2016,155
municipal sludge,Guangdong,"Guangzhou, Huangpu district, Kaifaqu",NA,NA,NA,Erythromycin-H2O,76,ng/g,2005,N46
municipal sludge,Guangdong,"Guangzhou, Huangpu district, Kaifaqu",NA,NA,NA,Norfloxacin,301,ng/g,2005,N46
municipal sludge,Guangdong,"Guangzhou, Huangpu district, Kaifaqu",NA,NA,NA,Ofloxacin,227,ng/g,2005,N46
municipal sludge,Guangdong,"Guangzhou, Huangpu district, Kaifaqu",NA,NA,NA,Roxithromycin,40,ng/g,2005,N46
municipal sludge,Guangdong,"Guangzhou, Tianhe district, Liede",NA,NA,NA,Erythromycin-H2O,195,ng/g,2005,N46
municipal sludge,Guangdong,"Guangzhou, Tianhe district, Liede",NA,NA,NA,Norfloxacin,40,ng/g,2005,N46
municipal sludge,Guangdong,"Guangzhou, Tianhe district, Liede",NA,NA,NA,Ofloxacin,886,ng/g,2005,N46
municipal sludge,Guangdong,"Guangzhou, Tianhe district, Liede",NA,NA,NA,Roxithromycin,64,ng/g,2005,N46
municipal sludge,Guangdong,"Guangzhou, Tianhe district, Liede",NA,NA,NA,Sulfadimidine,31,ng/g,2005,N46
municipal sludge,Guangdong,"Guangzhou, Tianhe district, Liede",NA,NA,NA,Sulfamethoxazole,20,ng/g,2005,N46
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Amoxicillin,20.12,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Azithromycin,438.85,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Chlortetracycline,44.165000000000006,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Ciprofloxacin,83.61500000000001,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Doxycycline,65.51,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Enrofloxacin,143.68,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Erythromycin-H2O,8.37,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Norfloxacin,122.59,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Ofloxacin,155.31,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Oxytetracycline,80.27,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Roxithromycin,45.67,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Sulfachloropyridazine,2.28,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Sulfadimethoxine,1.06,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Sulfadimidine,10.515,ng/g,2016,127
municipal sludge,Guizhou,Guizhou Yangjie river,4,106.70741,26.598194,Tetracycline,120.25,ng/g,2016,127
municipal sludge,Hebei,Hebei,12,114.468664,38.037057,Sulfadiazine,1287.3,ng/g,2016,129
municipal sludge,Hebei,Hebei,12,114.468664,38.037057,Sulfamerazine,990.7,ng/g,2016,129
municipal sludge,Hebei,Hebei,12,114.468664,38.037057,Sulfamethoxazole,2110,ng/g,2016,129
municipal sludge,Hebei,Hebei,4,114.468664,38.037057,Sulfadiazine,984.7,ng/g,2017,129
municipal sludge,Hebei,Hebei,4,114.468664,38.037057,Sulfamerazine,788.7,ng/g,2017,129
municipal sludge,Hebei,Hebei,4,114.468664,38.037057,Sulfamethoxazole,1206,ng/g,2017,129
municipal sludge,Hebei,Hebei Shijiazhuang,NA,114.521532,38.048312,Apo-Oxytetracycline,50250,ng/g dw,2004,223
municipal sludge,Hebei,Hebei Shijiazhuang,NA,114.521532,38.048312,Epioxytetracycline,195000,ng/g dw,2004,223
municipal sludge,Hebei,Hebei Shijiazhuang,NA,114.521532,38.048312,Oxytetracycline,4063000,ng/g dw,2004,223
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Ciprofloxacin,164.27,ng/g,2017,46
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Clarithromycin,5.03,ng/g,2017,46
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Dehydroerythromycin,15.57,ng/g,2017,46
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Doxycycline,8.75,ng/g,2017,46
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Enrofloxacin,2.99,ng/g,2017,46
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Lomefloxacin,33.61,ng/g,2017,46
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Norfloxacin,1125.78,ng/g,2017,46
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Ofloxacin,1529.77,ng/g,2017,46
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Oxytetracycline,873.66,ng/g,2017,46
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Roxithromycin,37.21,ng/g,2017,46
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Sulfadimethoxine,0.27,ng/g,2017,46
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Sulfamethoxazole,2.88,ng/g,2017,46
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Tetracycline,344.17,ng/g,2017,46
municipal sludge,Hebei,Hebei Zhangjiakou Yanghe river,NA,114.887543,40.824418,Trimethoprim,3.5,ng/g,2017,46
municipal sludge,Heilongjiang,Heilongjiang Harbin,9,126.534967,45.803775,Azithromycin,11.6,ng/g,2016,40
municipal sludge,Heilongjiang,Heilongjiang Harbin,9,126.534967,45.803775,Cefazolin,0.85,ng/g,2016,40
municipal sludge,Heilongjiang,Heilongjiang Harbin,9,126.534967,45.803775,Clarithromycin,11.5,ng/g,2016,40
municipal sludge,Heilongjiang,Heilongjiang Harbin,9,126.534967,45.803775,Flumequine,2.1,ng/g,2016,40
municipal sludge,Heilongjiang,Heilongjiang Harbin,9,126.534967,45.803775,Norfloxacin,70.9,ng/g,2016,40
municipal sludge,Heilongjiang,Heilongjiang Harbin,9,126.534967,45.803775,Ofloxacin,61.9,ng/g,2016,40
municipal sludge,Heilongjiang,Heilongjiang Harbin,9,126.534967,45.803775,Roxithromycin,66.5,ng/g,2016,40
municipal sludge,Heilongjiang,Heilongjiang Harbin,9,126.534967,45.803775,Sulfadiazine,32.9,ng/g,2016,40
municipal sludge,Heilongjiang,Heilongjiang Harbin,9,126.534967,45.803775,Sulfamethoxazole,3.9,ng/g,2016,40
municipal sludge,Heilongjiang,Heilongjiang Harbin,9,126.534967,45.803775,Sulfapyridine,0.51,ng/g,2016,40
municipal sludge,Heilongjiang,Heilongjiang Harbin,NA,126.534967,45.803775,Sulfadiazine,11.329999999999998,ng/g,NA,99
municipal sludge,Heilongjiang,Heilongjiang Harbin,NA,126.534967,45.803775,Sulfadimidine,17.06,ng/g,NA,99
municipal sludge,Heilongjiang,Heilongjiang Harbin,NA,126.534967,45.803775,Sulfamethoxazole,6.905,ng/g,NA,99
municipal sludge,Heilongjiang,Heilongjiang Harbin,NA,126.534967,45.803775,Sulfapyridine,7.905,ng/g,NA,99
municipal sludge,Heilongjiang,Heilongjiang Harbin,NA,126.534967,45.803775,Sulfaquinoxaline,2.795,ng/g,NA,99
municipal sludge,Heilongjiang,Heilongjiang Harbin Songhua river,9,126.534967,45.803775,Azithromycin,11.6,ng/g,2016,122
municipal sludge,Heilongjiang,Heilongjiang Harbin Songhua river,9,126.534967,45.803775,Clarithromycin,11.5,ng/g,2016,122
municipal sludge,Heilongjiang,Heilongjiang Harbin Songhua river,9,126.534967,45.803775,Flumequine,2.2,ng/g,2016,122
municipal sludge,Heilongjiang,Heilongjiang Harbin Songhua river,9,126.534967,45.803775,Norfloxacin,70.9,ng/g,2016,122
municipal sludge,Heilongjiang,Heilongjiang Harbin Songhua river,9,126.534967,45.803775,Ofloxacin,62,ng/g,2016,122
municipal sludge,Heilongjiang,Heilongjiang Harbin Songhua river,9,126.534967,45.803775,Roxithromycin,66.5,ng/g,2016,122
municipal sludge,Heilongjiang,Heilongjiang Harbin Songhua river,9,126.534967,45.803775,Sulfadiazine,33,ng/g,2016,122
municipal sludge,Hunan,Hunan Changsha,3,112.938814,28.228209,Azithromycin,59,ng/g,2017,144
municipal sludge,Hunan,Hunan Changsha,3,112.938814,28.228209,Ciprofloxacin,120,ng/g,2017,144
municipal sludge,Hunan,Hunan Changsha,3,112.938814,28.228209,Clarithromycin,29,ng/g,2017,144
municipal sludge,Hunan,Hunan Changsha,3,112.938814,28.228209,Doxycycline,28,ng/g,2017,144
municipal sludge,Hunan,Hunan Changsha,3,112.938814,28.228209,Enrofloxacin,41,ng/g,2017,144
municipal sludge,Hunan,Hunan Changsha,3,112.938814,28.228209,Erythromycin-H2O,7.3,ng/g,2017,144
municipal sludge,Hunan,Hunan Changsha,3,112.938814,28.228209,Flumequine,0.85,ng/g,2017,144
municipal sludge,Hunan,Hunan Changsha,3,112.938814,28.228209,Norfloxacin,1400,ng/g,2017,144
municipal sludge,Hunan,Hunan Changsha,3,112.938814,28.228209,Ofloxacin,3300,ng/g,2017,144
municipal sludge,Hunan,Hunan Changsha,3,112.938814,28.228209,Oxytetracycline,810,ng/g,2017,144
municipal sludge,Hunan,Hunan Changsha,3,112.938814,28.228209,Roxithromycin,57,ng/g,2017,144
municipal sludge,Hunan,Hunan Changsha,3,112.938814,28.228209,Tetracycline,230,ng/g,2017,144
municipal sludge,Hunan,Hunan Changsha,3,112.938814,28.228209,Trimethoprim,2.6,ng/g,2017,144
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Azithromycin,749,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Chlortetracycline,8.5,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Ciprofloxacin,83.3,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Clarithromycin,5.3,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Doxycycline,13.6,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Enrofloxacin,6.6,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Erythromycin-H2O,6.2,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Lomefloxacin,75.3,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Norfloxacin,2003.7,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Ofloxacin,3150,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Oxytetracycline,387.8,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Roxithromycin,13.4,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Sulfadiazine,3.4,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Sulfadimethoxine,4.9,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Sulfadimidine,0.8,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Sulfamerazine,15.3,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Sulfamethoxazole,4.2,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Sulfathiazole,7.1,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Tetracycline,57.4,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu,4,118.763232,32.061707,Trimethoprim,18,ng/g,2015,121
municipal sludge,Jiangsu,Jiangsu Wuxi,11,120.31191,31.491169,Azithromycin,6890.95,ng/g,2013,172
municipal sludge,Jiangsu,Jiangsu Wuxi,11,120.31191,31.491169,Norfloxacin,2747.45,ng/g,2013,172
municipal sludge,Jiangsu,Jiangsu Wuxi,11,120.31191,31.491169,Ofloxacin,8827.6,ng/g,2013,172
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Azithromycin,749,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Chlortetracycline,8.5,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Ciprofloxacin,83.3,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Clarithromycin,5.3,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Doxycycline,13.6,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Enrofloxacin,6.6,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Erythromycin-H2O,6.2,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Lomefloxacin,75.3,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Norfloxacin,2003.7,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Ofloxacin,3150,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Oxytetracycline,387.8,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Roxithromycin,13.4,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Sulfadiazine,3.4,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Sulfadimethoxine,4.9,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Sulfadimidine,0.8,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Sulfamerazine,15.3,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Sulfamethoxazole,4.2,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Sulfathiazole,7.1,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Tetracycline,57.4,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,4,121.614682,38.914003,Trimethoprim,18,ng/g,2015,121
municipal sludge,Liaoning,Liaoning Dalian,5,121.614682,38.914003,Azithromycin,272,ng/g,2012,198
municipal sludge,Liaoning,Liaoning Dalian,5,121.614682,38.914003,Norfloxacin,250.6,ng/g,2012,198
municipal sludge,Liaoning,Liaoning Dalian,5,121.614682,38.914003,Ofloxacin,129.8,ng/g,2012,198
municipal sludge,Liaoning,Liaoning Dalian,5,121.614682,38.914003,Roxithromycin,43.6,ng/g,2012,198
municipal sludge,Qinghai,Qinghai,4,101.780199,36.620901,Azithromycin,749,ng/g,2015,121
municipal sludge,Qinghai,Qinghai,4,101.780199,36.620901,Chlortetracycline,8.5,ng/g,2015,121
municipal sludge,Qinghai,Qinghai,4,101.780199,36.620901,Ciprofloxacin,83.3,ng/g,2015,121
